2013-01-06,22
2013-01-13,24
2013-01-20,22
2013-01-27,31
2013-02-03,20
2013-02-10,21
2013-02-17,27
2013-02-24,24
2013-03-03,28
2013-03-10,15
2013-03-17,25
2013-03-24,23
2013-03-31,29
2013-04-07,28
2013-04-14,36
2013-04-21,39
2013-04-28,26
2013-05-05,32
2013-05-12,32
2013-05-19,40
2013-05-26,53
2013-06-02,61
2013-06-09,78
2013-06-16,97
2013-06-23,100
2013-06-30,92
2013-07-07,96
2013-07-14,68
2013-07-21,67
2013-07-28,52
2013-08-04,56
2013-08-11,49
2013-08-18,49
2013-08-25,45
2013-09-01,50
2013-09-08,51
2013-09-15,50
2013-09-22,51
2013-09-29,41
2013-10-06,48
2013-10-13,47
2013-10-20,35
2013-10-27,35
2013-11-03,30
2013-11-10,30
2013-11-17,37
2013-11-24,37
2013-12-01,26
2013-12-08,25
2013-12-15,31
2013-12-22,28
2013-12-29,27
2014-01-05,23
2014-01-12,28
2014-01-19,36
2014-01-26,22
2014-02-02,28
2014-02-09,37
2014-02-16,26
2014-02-23,26
2014-03-02,38
2014-03-09,30
2014-03-16,42
2014-03-23,30
2014-03-30,36
2014-04-06,38
2014-04-13,39
2014-04-20,49
2014-04-27,27
2014-05-04,66
2014-05-11,49
2014-05-18,68
2014-05-25,72
2014-06-01,74
2014-06-08,92
2014-06-15,100
2014-06-22,96
2014-06-29,99
2014-07-06,69
2014-07-13,73
2014-07-20,58
2014-07-27,55
2014-08-03,73
2014-08-10,58
2014-08-17,46
2014-08-24,54
2014-08-31,37
2014-09-07,32
2014-09-14,50
2014-09-21,47
2014-09-28,41
2014-10-05,42
2014-10-12,47
2014-10-19,35
2014-10-26,44
2014-11-02,32
2014-11-09,28
2014-11-16,28
2014-11-23,24
2014-11-30,20
2014-12-07,26
2014-12-14,22
2014-12-21,24
2014-12-28,18
2015-01-04,43
2015-01-11,62
2015-01-18,49
2015-01-25,74
2015-02-01,76
2015-02-08,62
2015-02-15,63
2015-02-22,62
2015-03-01,53
2015-03-08,51
2015-03-15,57
2015-03-22,58
2015-03-29,57
2015-04-05,47
2015-04-12,73
2015-04-19,61
2015-04-26,47
2015-05-03,60
2015-05-10,46
2015-05-17,57
2015-05-24,81
2015-05-31,85
2015-06-07,98
2015-06-14,95
2015-06-21,100
2015-06-28,85
2015-07-05,69
2015-07-12,68
2015-07-19,45
2015-07-26,53
2015-08-02,37
2015-08-09,45
2015-08-16,35
2015-08-23,37
2015-08-30,59
2015-09-06,47
2015-09-13,25
2015-09-20,33
2015-09-27,44
2015-10-04,46
2015-10-11,38
2015-10-18,46
2015-10-25,39
2015-11-01,42
2015-11-08,44
2015-11-15,24
2015-11-22,29
2015-11-29,46
2015-12-06,25
2015-12-13,39
2015-12-20,27
2015-12-27,30
2016-01-03,36
2016-01-10,18
2016-01-17,32
2016-01-24,27
2016-01-31,32
2016-02-07,17
2016-02-14,41
2016-02-21,29
2016-02-28,32
2016-03-06,19
2016-03-13,27
2016-03-20,39
2016-03-27,24
2016-04-03,33
2016-04-10,28
2016-04-17,40
2016-04-24,44
2016-05-01,56
2016-05-08,86
2016-05-15,59
2016-05-22,47
2016-05-29,64
2016-06-05,74
2016-06-12,73
2016-06-19,88
2016-06-26,100
2016-07-03,68
2016-07-10,69
2016-07-17,46
2016-07-24,40
2016-07-31,32
2016-08-07,57
2016-08-14,31
2016-08-21,50
2016-08-28,54
2016-09-04,53
2016-09-11,45
2016-09-18,45
2016-09-25,39
2016-10-02,69
2016-10-09,42
2016-10-16,44
2016-10-23,30
2016-10-30,32
2016-11-06,45
2016-11-13,37
2016-11-20,25
2016-11-27,28
2016-12-04,25
2016-12-11,31
2016-12-18,28
2016-12-25,29
2017-01-01,28
2017-01-08,37
2017-01-15,30
2017-01-22,21
2017-01-29,31
2017-02-05,33
2017-02-12,37
2017-02-19,37
2017-02-26,31
2017-03-05,35
2017-03-12,38
2017-03-19,30
2017-03-26,44
2017-04-02,41
2017-04-09,40
